,Topic,Sentiment Score,Source,Keywords,Subjectivity Score
0,10.0,0.009,France24,"china, chinese, military, iran, world, u.s., said, country, war, beijing",0.331
1,1.0,0.077,France24,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.356
2,12.0,0.057,France24,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.347
3,20.0,0.055,France24,"queen, club, white, sherpa, virginia_beach, performance, red, night, taylor, jackson",0.304
4,21.0,0.079,France24,"said, health, study, research, food, fda, science, drug, found, treatment",0.407
5,15.0,0.139,France24,"game, team, player, first, win, season, year, sport, final, woman",0.359
6,16.0,0.113,France24,"year, also, could, may, new, many, one, business, system, use",0.344
7,17.0,-0.016,France24,"party, candidate, political, vote, election, brexit, leader, campaign, conservative, would",0.378
8,15.0,0.35,France24,"game, team, player, first, win, season, year, sport, final, woman",0.25
9,10.0,-0.018,France24,"china, chinese, military, iran, world, u.s., said, country, war, beijing",0.286
10,16.0,0.076,France24,"year, also, could, may, new, many, one, business, system, use",0.384
11,5.0,0.113,France24,"year, city, say, home, people, one, time, day, two, many",0.362
12,16.0,0.046,France24,"year, also, could, may, new, many, one, business, system, use",0.311
13,15.0,0.122,France24,"game, team, player, first, win, season, year, sport, final, woman",0.511
14,17.0,0.037,France24,"party, candidate, political, vote, election, brexit, leader, campaign, conservative, would",0.354
15,15.0,0.061,France24,"game, team, player, first, win, season, year, sport, final, woman",0.386
16,5.0,0.164,France24,"year, city, say, home, people, one, time, day, two, many",0.454
17,5.0,0.11,France24,"year, city, say, home, people, one, time, day, two, many",0.352
18,12.0,0.034,France24,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.206
19,14.0,-0.16,France24,"student, school, university, college, education, high_school, class, child, teacher, black",0.26
20,15.0,-0.007,France24,"game, team, player, first, win, season, year, sport, final, woman",0.247
21,10.0,-0.25,France24,"china, chinese, military, iran, world, u.s., said, country, war, beijing",0.2
22,10.0,-0.025,France24,"china, chinese, military, iran, world, u.s., said, country, war, beijing",0.3
23,16.0,0.14,France24,"year, also, could, may, new, many, one, business, system, use",0.473
24,20.0,0.227,France24,"queen, club, white, sherpa, virginia_beach, performance, red, night, taylor, jackson",0.438
25,20.0,-0.131,France24,"queen, club, white, sherpa, virginia_beach, performance, red, night, taylor, jackson",0.393
26,5.0,0.036,France24,"year, city, say, home, people, one, time, day, two, many",0.309
27,11.0,-0.064,France24,"said, police, killed, according, told, war, people, family, prison, two",0.207
28,21.0,0.133,France24,"said, health, study, research, food, fda, science, drug, found, treatment",0.535
29,15.0,0.085,France24,"game, team, player, first, win, season, year, sport, final, woman",0.533
30,5.0,-0.033,France24,"year, city, say, home, people, one, time, day, two, many",0.233
31,2.0,0.112,France24,"said, n’t, would, say, like, people, one, get, time, know",0.554
32,2.0,0.054,France24,"said, n’t, would, say, like, people, one, get, time, know",0.382
33,14.0,0.001,France24,"student, school, university, college, education, high_school, class, child, teacher, black",0.421
34,11.0,-0.007,France24,"said, police, killed, according, told, war, people, family, prison, two",0.342
35,11.0,-0.095,France24,"said, police, killed, according, told, war, people, family, prison, two",0.502
36,8.0,-0.108,France24,"court, june, case, holzhauer, boteach, israel, document, attorney, judge, federal",0.287
37,12.0,0.037,France24,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.239
38,9.0,-0.039,France24,"church, pastor, macron, band, woodson, kabul, wartburg_watch, mr._erickson, survivor, soviet",0.239
39,10.0,0.061,France24,"china, chinese, military, iran, world, u.s., said, country, war, beijing",0.255
40,5.0,0.007,France24,"year, city, say, home, people, one, time, day, two, many",0.489
41,11.0,0.092,France24,"said, police, killed, according, told, war, people, family, prison, two",0.295
42,19.0,0.27,France24,"show, one, story, like, time, life, first, book, world, new",0.486
43,10.0,-0.012,Fox,"china, chinese, military, iran, world, u.s., said, country, war, beijing",0.228
44,12.0,0.005,Fox,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.546
45,22.0,0.094,Fox,"state, law, abortion, bill, woman, biden, republican, right, primary, democrat",0.379
46,1.0,-0.023,Fox,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.464
47,4.0,0.014,Fox,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.399
48,2.0,0.017,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.484
49,12.0,0.078,Fox,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.333
50,2.0,0.128,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.478
51,2.0,-0.075,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.409
52,1.0,0.061,Fox,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.53
53,2.0,0.249,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.515
54,2.0,0.09,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.481
55,11.0,0.005,Fox,"said, police, killed, according, told, war, people, family, prison, two",0.317
56,2.0,0.272,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.572
57,2.0,0.016,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.434
58,11.0,0.124,Fox,"said, police, killed, according, told, war, people, family, prison, two",0.453
59,22.0,0.079,Fox,"state, law, abortion, bill, woman, biden, republican, right, primary, democrat",0.209
60,8.0,0.127,Fox,"court, june, case, holzhauer, boteach, israel, document, attorney, judge, federal",0.441
61,15.0,0.196,Fox,"game, team, player, first, win, season, year, sport, final, woman",0.439
62,1.0,0.116,Fox,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.388
63,11.0,0.1,Fox,"said, police, killed, according, told, war, people, family, prison, two",0.334
64,13.0,0.134,Fox,"oxford, race, north_korea, slate, north_korean, merkel, south_korean, contract, korean, poland",0.497
65,15.0,-0.011,Fox,"game, team, player, first, win, season, year, sport, final, woman",0.265
66,2.0,0.241,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.39
67,12.0,0.148,Fox,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.366
68,4.0,0.233,Fox,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.557
69,1.0,0.104,Fox,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.435
70,2.0,0.183,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.409
71,1.0,0.094,Fox,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.398
72,2.0,0.217,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.436
73,12.0,0.066,Fox,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.44
74,15.0,0.186,Fox,"game, team, player, first, win, season, year, sport, final, woman",0.429
75,9.0,0.067,Fox,"church, pastor, macron, band, woodson, kabul, wartburg_watch, mr._erickson, survivor, soviet",0.338
76,19.0,0.242,Fox,"show, one, story, like, time, life, first, book, world, new",0.543
77,2.0,0.185,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.563
78,4.0,0.189,Fox,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.495
79,2.0,0.187,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.583
80,10.0,0.034,Fox,"china, chinese, military, iran, world, u.s., said, country, war, beijing",0.472
81,2.0,0.12,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.466
82,15.0,-0.008,Fox,"game, team, player, first, win, season, year, sport, final, woman",0.293
83,21.0,0.118,Fox,"said, health, study, research, food, fda, science, drug, found, treatment",0.368
84,2.0,0.074,Fox,"said, n’t, would, say, like, people, one, get, time, know",0.502
